"model","hash","file"
"ACCESS-CM2","r1i1p1f1",3681
"ACCESS-ESM1-5","r1i1p1f1",3681
"BCC-CSM2-MR","r1i1p1f1",3272
"CanESM5","r1i1p1f1",3681
"CMCC-CM2-SR5","r1i1p1f1",3337
"CMCC-ESM2","r1i1p1f1",3681
"EC-Earth3","r1i1p1f1",3681
"EC-Earth3-Veg-LR","r1i1p1f1",3681
"GFDL-CM4","r1i1p1f1",2133
"GFDL-CM4_gr2","r1i1p1f1",2133
"GFDL-ESM4","r1i1p1f1",3681
"IITM-ESM","r1i1p1f1",2828
"INM-CM4-8","r1i1p1f1",3681
"INM-CM5-0","r1i1p1f1",3681
"IPSL-CM6A-LR","r1i1p1f1",3272
"KACE-1-0-G","r1i1p1f1",3681
"KIOST-ESM","r1i1p1f1",2905
"MIROC6","r1i1p1f1",3444
"MPI-ESM1-2-HR","r1i1p1f1",3681
"MPI-ESM1-2-LR","r1i1p1f1",3681
"MRI-ESM2-0","r1i1p1f1",3681
"NESM3","r1i1p1f1",2261
"NorESM2-LM","r1i1p1f1",3681
"NorESM2-MM","r1i1p1f1",3681
"TaiESM1","r1i1p1f1",3681
"CNRM-CM6-1","r1i1p1f2",3681
"CNRM-ESM2-1","r1i1p1f2",3681
"GISS-E2-1-G","r1i1p1f2",3681
"MIROC-ES2L","r1i1p1f2",3681
"UKESM1-0-LL","r1i1p1f2",3681
"HadGEM3-GC31-LL","r1i1p1f3",2907
"HadGEM3-GC31-MM","r1i1p1f3",2133
"CESM2-WACCM","r3i1p1f1",1659
"FGOALS-g3","r3i1p1f1",3681
"CESM2","r4i1p1f1",2863
